Customer_ID,Modelo,Revisiones,PVP,p_churn,Churn_pred,Segmento,n_mantenimiento,C_n,CosteMarketing,Precio_base,d_optimo,d_max,Precio_final,Margen_final,oferta_2o_vehiculo,CLTV,Accion_recomendada
107334,I,0,30330,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
100773,I,0,36634,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
100593,A,0,12236,0.0049,0,Bajo,1,267.5,2.6750000000000003,454.75,0.0,0.0663,454.75,0.34176470588235286,False,1821.62,Descuento fidelizacion 0.0%
84882,I,0,28667,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
106342,I,0,27479,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
33452,I,0,35404,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
35799,I,0,28667,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
102109,H,0,22875,0.0049,0,Bajo,1,388.3,3.883,660.11,0.0,0.0663,660.11,0.34176470588235286,False,2644.25,Descuento fidelizacion 0.0%
76575,I,0,29240,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
100590,A,0,15195,0.0049,0,Bajo,1,267.5,2.6750000000000003,454.75,0.0,0.0663,454.75,0.34176470588235286,False,1821.62,Descuento fidelizacion 0.0%
107293,C,0,21896,0.0049,0,Bajo,1,303.6,3.0360000000000005,516.12,0.0,0.0663,516.12,0.3417647058823528,False,2067.46,Descuento fidelizacion 0.0%
107426,J,0,30246,0.0049,0,Bajo,1,429.00000000000006,4.290000000000001,729.3000000000001,0.0,0.0663,729.3000000000001,0.34176470588235286,False,2921.41,Descuento fidelizacion 0.0%
108059,I,0,23753,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
105390,A,0,15824,0.0049,0,Bajo,1,267.5,2.6750000000000003,454.75,0.0,0.0663,454.75,0.34176470588235286,False,1821.62,Descuento fidelizacion 0.0%
100174,I,0,29446,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
101000,I,0,27332,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
107431,C,0,24528,0.0049,0,Bajo,1,303.6,3.0360000000000005,516.12,0.0,0.0663,516.12,0.3417647058823528,False,2067.46,Descuento fidelizacion 0.0%
102306,B,0,23321,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
106163,A,0,13094,0.0049,0,Bajo,1,267.5,2.6750000000000003,454.75,0.0,0.0663,454.75,0.34176470588235286,False,1821.62,Descuento fidelizacion 0.0%
100918,B,0,19234,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
74556,I,0,28667,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
105700,A,0,13693,0.0049,0,Bajo,1,267.5,2.6750000000000003,454.75,0.0,0.0663,454.75,0.34176470588235286,False,1821.62,Descuento fidelizacion 0.0%
101439,B,0,21535,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
104064,I,0,28667,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
105276,C,0,23542,0.0049,0,Bajo,1,303.6,3.0360000000000005,516.12,0.0,0.0663,516.12,0.3417647058823528,False,2067.46,Descuento fidelizacion 0.0%
101890,C,0,22814,0.0049,0,Bajo,1,303.6,3.0360000000000005,516.12,0.0,0.0663,516.12,0.3417647058823528,False,2067.46,Descuento fidelizacion 0.0%
